1,"Metal Halide Ballast",3,,3,,5,,"Metal Halide Ballast TP"
2,"Commercial Clothes Washers",2,"SNOPR",6,1/1/2010 0:00:00,5,,"CCW STD"
3,"Residential Furnaces and Boilers (Standby)",3,,5,9/30/2009 0:00:00,4,7,"Furnaces & Boilers Standby TP"
4,"Small Electric Motors",2,,2,2/28/2010 0:00:00,4,17,"Small Motors STD"
5,"Heating Products - Water Heaters, Pool Heaters, and Direct Heating Equipment",2,,5,3/31/2010 0:00:00,4,17,"Heating Products STD"
6,"Heating Products - Water Heaters, Pool Heaters, and Direct Heating Equipment",3,,5,3/31/2010 0:00:00,3,7,"Heating Products TP"
7,"Electric Motors",3,"SNOPR",2,,3,7,"Electric Motors TP"
8,"External Power Supplies (Non-Class A)",4,,7,12/19/2009 0:00:00,4,17,"EPS Non-Class A Det"
9,"Walk-in Coolers and Freezers",3,,1,1/1/2010 0:00:00,3,,"Walk-ins TP"
10,"Residential Refrigerators and Freezers",3,,4,12/31/2010 0:00:00,3,,"Refrigerators TP"
11,"HID Lamps",4,,3,6/30/2010 0:00:00,4,17,"HID Lamps DET"
12,"AHAM2 - Room Air Conditioners and Clothes Dryers",3,"SNOPR",6,3/31/2009 0:00:00,3,2,"AHAM2 TP"
13,"Microwave Ovens (Standby)",3,"SNOPR",6,3/31/2011 0:00:00,3,1,"Microwaves Standby TP"
14,"Battery Chargers (Active Mode)",3,,7,6/9/2010 8:00:00,3,7,"Battery Chargers TP"
15,"Central Air Conditioning",3,,8,,3,2,"Central AC TP"
16,"Fluorescent Lamp Ballasts (Active Mode)",3,,3,6/30/2011 0:00:00,3,4,"Ballasts Active TP"
17,"Residential Refrigerators",2,,4,12/31/2010 0:00:00,3,17,"Refrigerators STD"
18,"Residential Clothes Washers",3,,6,6/30/2009 0:00:00,3,17,"RCW TP"
19,"AHAM1 - Dishwashers, Ranges and Ovens, Dehumidifiers (Standby)",3,,6,3/31/2011 0:00:00,3,17,"AHAM1 Standby TP"
20,"Microwave Ovens Standby Power",2,"SNOPR",6,,3,17,"Microwaves Standby STD"
21,"Residential Furnaces",2,"begins with NODA",5,5/1/2011 0:00:00,2,7,"Furnaces STD"
22,"Battery Chargers and Class A External Power Supplies",2,,7,7/1/2011 0:00:00,2,1,"BCEPS STD"
23,"Fluorescent Lamp Ballasts",2,,3,6/30/2011 0:00:00,3,17,"Ballasts STD"
